Away matches of...,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Nottm Forest,16,1.81,88%,75%,12%,6%,0%,0%,50%,19%,44%,6%,31%
Tottenham,15,1.73,80%,53%,33%,7%,0%,0%,47%,40%,33%,20%,13%
Aston Villa,16,1.63,81%,56%,19%,6%,0%,0%,25%,50%,44%,31%,25%
Brighton,16,1.56,81%,50%,25%,0%,0%,0%,19%,44%,56%,25%,38%
Newcastle Utd,15,1.47,73%,47%,20%,7%,0%,0%,20%,40%,67%,13%,40%
Arsenal,16,1.44,62%,44%,19%,12%,6%,0%,19%,69%,50%,31%,12%
Bournemouth,15,1.4,80%,47%,13%,0%,0%,0%,20%,53%,47%,33%,27%
Chelsea,15,1.4,80%,60%,0%,0%,0%,0%,40%,47%,33%,27%,13%
Manchester City,15,1.33,80%,33%,13%,7%,0%,0%,27%,47%,47%,27%,27%
West Ham Utd,16,1.31,81%,31%,19%,0%,0%,0%,25%,38%,56%,19%,38%
Burnley,16,1.25,88%,31%,6%,0%,0%,0%,19%,38%,56%,25%,44%
Luton Town,16,1.25,75%,25%,19%,6%,0%,0%,12%,50%,62%,25%,38%
Wolverhampton,16,1.25,62%,44%,12%,6%,0%,0%,25%,44%,69%,6%,31%
Fulham,16,1.19,62%,31%,19%,6%,0%,0%,12%,50%,75%,12%,38%
Sheffield Utd,15,1.13,73%,27%,7%,7%,0%,0%,7%,40%,80%,13%,53%
Brentford,16,1.13,75%,25%,12%,0%,0%,0%,25%,50%,50%,25%,25%
Liverpool,15,1.07,73%,27%,7%,0%,0%,0%,27%,53%,47%,27%,20%
Everton,16,1.06,56%,44%,6%,0%,0%,0%,19%,50%,75%,6%,31%
Manchester Utd,16,1.06,56%,31%,12%,6%,0%,0%,25%,75%,44%,31%,0%
Crystal Palace,16,1.0,62%,25%,12%,0%,0%,0%,6%,56%,75%,19%,38%
