0,1,2,3,4,5,6,7,8,9
Sa 13 Apr,Brentford,14:00,Sheffield Utd,h2h,,,,,
Sa 13 Apr,Burnley,14:00,Brighton,h2h,,,,,
Sa 13 Apr,Manchester City,14:00,Luton Town,h2h,,,,,
Sa 13 Apr,Newcastle Utd,14:00,Tottenham,h2h,,,,,
Sa 13 Apr,Nottm Forest,14:00,Wolverhampton,h2h,,,,,
Sa 13 Apr,Bournemouth,16:30,Manchester Utd,h2h,,,,,
,,,,,,,,,
Su 14 Apr,Liverpool,13:00,Crystal Palace,h2h,,,,,
Su 14 Apr,West Ham Utd,13:00,Fulham,h2h,,,,,
Su 14 Apr,Arsenal,15:30,Aston Villa,h2h,,,,,
,,,,,,,,,
Mo 15 Apr,Chelsea,19:00,Everton,h2h,,,,,
